ticket_id,user_id,content,source,created_at
T001,U1001,我付款了，但是会员一直没到账，麻烦尽快处理,App,2026-05-06 09:10:00
T002,U1002,课程打不开，一直加载失败，重新登录也不行,Web,2026-05-06 09:25:00
T003,U1003,我想退款，这个课程不适合我,App,2026-05-06 10:02:00
T004,U1004,账号登录不上，验证码也收不到,小程序,2026-05-06 10:18:00
T005,U1005,发票怎么开，需要公司抬头,Web,2026-05-06 10:40:00
T006,U1006,客服一直没人回复，我的问题拖了两天了,App,2026-05-06 11:05:00
T007,U1007,订单已经扣款，但是系统显示未支付,App,2026-05-06 11:30:00
T008,U1008,请问课程资料在哪里下载,Web,2026-05-06 13:15:00
T009,U1009,App 打开后直接闪退，没法上课,App,2026-05-06 14:20:00
T010,U1010,我提交退款后多久能到账,小程序,2026-05-06 15:10:00

